TF,target,importance,corr_sign,signed_importance,validated
TNFRSF4,TNFRSF18,16.09589144965825,1.0,16.09589144965825,False
TNFRSF4,IRF4,9.339130236263356,1.0,9.339130236263356,False
IFNG,CD2,8.885553832305865,1.0,8.885553832305865,False
TNFRSF4,ICOS,8.577157190699477,1.0,8.577157190699477,False
TNFRSF4,BATF,8.254574976709106,1.0,8.254574976709106,False
TNFRSF4,ARHGDIB,7.965199647797907,-1.0,-7.965199647797907,False
TNFRSF4,TNFRSF9,7.457724292854864,1.0,7.457724292854864,False
IFNG,ICOS,6.593979509421025,1.0,6.593979509421025,False
ARHGDIB,TNFRSF8,6.574022955101276,-1.0,-6.574022955101276,False
TNFRSF4,ID2,6.461054444089623,1.0,6.461054444089623,False
ARHGDIB,CD226,6.243532888577072,1.0,6.243532888577072,True
CD27,TCF7,6.198106463841778,1.0,6.198106463841778,True
TNFRSF18,GNLY,6.193175282951695,1.0,6.193175282951695,False
TNFRSF4,IFNG,5.862799694883631,1.0,5.862799694883631,False
TNFRSF4,IL2RB,5.527538018945037,1.0,5.527538018945037,False
CD27,PLCG2,5.523514548311777,1.0,5.523514548311777,True
ARHGDIB,TNFRSF4,5.293010728965244,-1.0,-5.293010728965244,True
TNFRSF4,CD247,5.130978509049211,-1.0,-5.130978509049211,False
IFNG,CD27,4.961338074525367,-1.0,-4.961338074525367,True
TNFRSF4,CD226,4.943370469226661,-1.0,-4.943370469226661,False
CD27,CD28,4.793543249014085,-1.0,-4.793543249014085,True
TNFRSF4,CEACAM1,4.7367631638045165,1.0,4.7367631638045165,False
CD40,FOXL2NB,4.711785619442552,1.0,4.711785619442552,False
TNFRSF4,NLRC3,4.669980713790799,-1.0,-4.669980713790799,False
TNFRSF18,TNFRSF4,4.614059567275348,1.0,4.614059567275348,False
TNFRSF4,CD27,4.540199559722356,-1.0,-4.540199559722356,False
TNFRSF4,TNFRSF25,4.486836279701715,1.0,4.486836279701715,False
TNFRSF4,GRAP,4.359033635925933,-1.0,-4.359033635925933,False
ARHGDIB,ICOS,4.346152195541887,-1.0,-4.346152195541887,True
CD27,CD247,4.2582115571495525,1.0,4.2582115571495525,True
TNFRSF18,ZEB2,4.211105426324569,1.0,4.211105426324569,False
TNFRSF4,IL2,4.076829759073542,1.0,4.076829759073542,False
TNFRSF4,MGST3,3.9961921615373903,-1.0,-3.9961921615373903,False
ARHGDIB,TNFRSF9,3.978968576147293,-1.0,-3.978968576147293,False
IFNG,TNFRSF4,3.9154970743549606,1.0,3.9154970743549606,True
CD27,GZMK,3.910573221628201,1.0,3.910573221628201,True
TNFRSF4,RUNX3,3.8472345868774207,1.0,3.8472345868774207,False
TNFRSF4,TAGAP,3.773312014833972,1.0,3.773312014833972,False
CD2,TNFRSF1B,3.734272038990516,1.0,3.734272038990516,False
CD27,GATA3,3.626737632094157,-1.0,-3.626737632094157,True
IFNG,TNFRSF9,3.5999485443669856,1.0,3.5999485443669856,False
CD27,TNFRSF1A,3.579508343557164,1.0,3.579508343557164,False
ICOS,CD28,3.552144048213856,1.0,3.552144048213856,False
TNFRSF4,TCF7,3.504406284921741,-1.0,-3.504406284921741,False
CD2,MUC1,3.475462968703286,-1.0,-3.475462968703286,False
CD226,LHX6,3.413065418919809,1.0,3.413065418919809,False
TNFRSF4,ZEB2,3.3533673270206754,1.0,3.3533673270206754,False
CD27,TNFRSF14,3.3420382684605072,1.0,3.3420382684605072,False
TNFRSF4,LTBR,3.324130675985022,1.0,3.324130675985022,False
TNFRSF4,FOSL1,3.284888323200497,1.0,3.284888323200497,False
TCF7,CD27,3.244760460911283,1.0,3.244760460911283,True
TNFRSF18,TNFRSF1B,3.210730508970113,1.0,3.210730508970113,False
CD27,TNFRSF8,3.1915999181175283,-1.0,-3.1915999181175283,False
TNFRSF4,PRDM1,3.105255487517122,1.0,3.105255487517122,False
TNFRSF4,TNFRSF1B,2.991916230996419,1.0,2.991916230996419,False
TNFRSF4,EMP1,2.955194195887912,1.0,2.955194195887912,False
CD2,CEACAM1,2.947498984444488,1.0,2.947498984444488,False
IL2RG,TNFRSF14,2.9327149183412318,1.0,2.9327149183412318,False
TNFRSF4,TRIM21,2.903407081157363,-1.0,-2.903407081157363,False
ICOS,IL9R,2.896214229999802,-1.0,-2.896214229999802,False
IRF4,TNFRSF9,2.848056074757252,1.0,2.848056074757252,False
TCF7,TNFRSF14,2.78540660150416,1.0,2.78540660150416,False
TNFRSF4,CCL4,2.7736517864105616,1.0,2.7736517864105616,False
TNFRSF4,IL2RG,2.7075445526617696,-1.0,-2.7075445526617696,False
CD27,LAT,2.635436924685803,1.0,2.635436924685803,True
ARHGDIB,CD27,2.615635837760085,1.0,2.615635837760085,True
TNFRSF4,NOTCH1,2.598769438003839,1.0,2.598769438003839,False
IFNG,TNFRSF8,2.5808566682044387,1.0,2.5808566682044387,False
TNFRSF8,IL1R1,2.5801751942176923,1.0,2.5801751942176923,False
CD226,PRDM13,2.5566566773829185,1.0,2.5566566773829185,False
TNFRSF18,CCL4,2.5315075952471453,1.0,2.5315075952471453,False
TNFRSF4,DEF6,2.491543580765925,-1.0,-2.491543580765925,False
TNFRSF4,PLCG2,2.4618820919758635,-1.0,-2.4618820919758635,False
CD2,CD28,2.4530241606696075,1.0,2.4530241606696075,False
TNFRSF4,CD2,2.448735400184272,1.0,2.448735400184272,False
TNFRSF4,JMJD1C,2.420971126179196,-1.0,-2.420971126179196,False
CD226,PRF1,2.3397875574813205,1.0,2.3397875574813205,False
CD226,NLRC3,2.338809890482441,1.0,2.338809890482441,False
TNFRSF4,ABCB10,2.302904186169848,1.0,2.302904186169848,False
ICOS,GZMK,2.2542947064401107,-1.0,-2.2542947064401107,False
TNFRSF14,MUC1,2.22041669948216,1.0,2.22041669948216,False
CD2,FOXQ1,2.21470971950365,1.0,2.21470971950365,False
APOL2,TNFRSF14,2.1992687746634947,1.0,2.1992687746634947,False
TNFRSF18,P2RY14,2.183424436633082,1.0,2.183424436633082,False
TNFRSF9,LTBR,2.180695523637917,1.0,2.180695523637917,False
TNFRSF18,ID2,2.173824817249597,1.0,2.173824817249597,False
CD2,BICDL2,2.1731747057352906,-1.0,-2.1731747057352906,False
NLRC3,CD226,2.1531586736431114,1.0,2.1531586736431114,True
TNFRSF18,CNR2,2.1447548035619777,1.0,2.1447548035619777,False
CD27,TNFRSF4,2.1305563138946466,-1.0,-2.1305563138946466,False
CD2,P2RY14,2.128392628834192,1.0,2.128392628834192,False
ARHGDIB,TNFRSF14,2.127487374412909,1.0,2.127487374412909,False
CD27,BATF,2.0874054435006726,-1.0,-2.0874054435006726,False
CD27,BICDL2,2.071880748882808,1.0,2.071880748882808,False
TNFRSF4,TNFRSF12A,2.068072589253585,1.0,2.068072589253585,False
ARHGDIB,CD2,2.0517766471056915,-1.0,-2.0517766471056915,False
TNFRSF14,LAT2,2.048516166804065,-1.0,-2.048516166804065,False
